랭킹,제목,가수명,좋아요,좋아요 차이
"['1', '초록빛', '폴킴', '40154', '32932']"
"['2', '넘쳐흘러', '엠씨더맥스', '80737', '73515']"
"['3', '벌써 12시', '청하', '75636', '68414']"
"['4', '180도', '벤', '119573', '112351']"
"['5', '띵 (Prod. By 기리보이)', 'Jvcki Wai', '50090', '42868']"
"['6', '신용재', '하은 (라코스테남)', '82093', '74871']"
"['7', 'SOLO', '제니 (JENNIE)', '160050', '152828']"
"['8', '너를 만나', '폴킴', '160868', '153646']"
"['9', 'MILLIONS', 'WINNER', '101862', '94640']"
"['10', 'Love Shot', 'EXO', '121535', '114313']"
"['11', '아낙네', 'MINO (송민호)', '141867', '134645']"
"['12', '해야 (Sunrise)', '여자친구 (GFRIEND)', '29635', '22413']"
"['13', '너도 그냥 날 놓아주면 돼', '윤건', '42376', '35154']"
"['14', '모든 날, 모든 순간 (Every day, Every Moment)', '폴킴', '235353', '228131']"
"['15', 'Tempo', 'EXO', '167941', '160719']"
"['16', 'YES or YES', 'TWICE (트와이스)', '116128', '108906']"
"['17', '내 생에 아름다운', '케이윌', '91309', '84087']"
"['18', 'IDOL', '방탄소년단', '214659', '207437']"
"['19', '%%(응응)', 'Apink (에이핑크)', '25819', '18597']"
"['20', '아름답고도 아프구나', '비투비', '121473', '114251']"
"['21', '흔한 이별', '허각', '37920', '30698']"
"['22', '가을 타나 봐', '바이브', '112955', '105733']"
"['23', '첫눈에', '헤이즈 (Heize)', '50766', '43544']"
"['24', '삐삐', '아이유', '204570', '197348']"
"['25', '이별하러 가는 길', '임한별', '71617', '64395']"
"['26', '고백', '양다일', '98603', '91381']"
"['27', '봄바람', 'Wanna One (워너원)', '125659', '118437']"
"['28', 'No Question', '매드클라운', '12523', '5301']"
"['29', 'Way Back Home', '숀 (SHAUN)', '250190', '242968']"
"['30', '사계 (하루살이)', '엠씨더맥스', '21956', '14734']"
"['31', 'thank u, next', 'Ariana Grande', '83505', '76283']"
"['32', '트라우마 (Trauma)', 'EXO', '67077', '59855']"
"['33', 'FAKE LOVE', '방탄소년단', '269251', '262029']"
"['34', 'We all lie', '하진', '43276', '36054']"
"['35', '열애중', '벤', '148981', '141759']"
"['36', '길 (Song by 아이유, 헨리, 조현아, 양다일)', 'god', '24303', '17081']"
"['37', '하루도 그대를 사랑하지 않은 적이 없었다', '임창정', '136384', '129162']"
"['38', 'Wait', 'EXO', '67878', '60656']"
"['39', 'Gravity', 'EXO', '95925', '88703']"
"['40', '봄날', '방탄소년단', '378324', '371102']"
"['41', '닿은 순간 (Ooh La La La)', 'EXO', '93287', '86065']"
"['42', '24/7', 'EXO', '91938', '84716']"
"['43', 'I`m Fine', '방탄소년단', '157925', '150703']"
"['44', 'Sign', 'EXO', '90114', '82892']"
"['45', '여기 있을게 (Smile On My Face)', 'EXO', '87119', '79897']"
"['46', '너 없인 안 된다', '비투비', '150665', '143443']"
"['47', 'Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)', 'pH-1', '120909', '113687']"
"['48', 'Damage', 'EXO', '83656', '76434']"
"['49', '그때가 좋았어', '케이시 (Kassy)', '18523', '11301']"
"['50', '그리워하다', '비투비', '219266', '212044']"
"['51', '후폭풍 (Bad Dream)', 'EXO', '83555', '76333']"
"['52', '가끔 (With You)', 'EXO', '84855', '77633']"
"['53', '오아시스 (Oasis)', 'EXO', '86653', '79431']"
"['54', 'DNA', '방탄소년단', '335238', '328016']"
"['55', '알았다면', '장덕철', '21641', '14419']"
"['56', '습관 (Bad Habits)', '숀 (SHAUN)', '18786', '11564']"
"['57', '지나오다', '닐로 (Nilo)', '192535', '185313']"
"['58', 'Euphoria', '방탄소년단', '151590', '144368']"
"['59', 'Answer : Love Myself', '방탄소년단', '131668', '124446']"
"['60', '그 남자를 떠나', 'god', '15012', '7790']"
"['61', 'Universe', 'EXO', '185882', '178660']"
"['62', '너는 어땠을까', '노을', '38418', '31196']"
"['63', '라비앙로즈 (La Vie en Rose)', 'IZ*ONE (아이즈원)', '79836', '72614']"
"['64', '뚜두뚜두 (DDU-DU DDU-DU)', 'BLACKPINK', '203097', '195875']"
"['65', '미안해', '양다일', '142763', '135541']"
"['66', '비', '폴킴', '184081', '176859']"
"['67', '전하지 못한 진심 (Feat. Steve Aoki)', '방탄소년단', '192035', '184813']"
"['68', 'Bohemian Rhapsody (2011 Remaster)', 'Queen', '89292', '82070']"
"['69', '이 마음', '펀치 (Punch)', '7222', '0']"
"['70', '헤어지는 중', '펀치 (Punch)', '98596', '91374']"
"['71', '행복', '오반', '44817', '37595']"
"['72', '에너제틱 (Energetic)', 'Wanna One (워너원)', '286756', '279534']"
"['73', '사이렌 (Siren)', '선미', '110416', '103194']"
"['74', 'Epiphany', '방탄소년단', '120200', '112978']"
"['75', 'Dance The Night Away', 'TWICE (트와이스)', '138946', '131724']"
"['76', '우리 그만하자', '로이킴', '122038', '114816']"
"['77', '밤편지', '아이유', '304475', '297253']"
"['78', '어쩌나', '세븐틴', '71580', '64358']"
"['79', '겨울이라 이런 거면 좋겠다', '먼데이 키즈 (Monday Kiz)', '9709', '2487']"
"['80', 'Beautiful', 'Wanna One (워너원)', '235186', '227964']"
"['81', '사랑을 했다 (LOVE SCENARIO)', 'iKON', '279332', '272110']"
"['82', 'Anpanman', '방탄소년단', '149407', '142185']"
"['83', 'IndiGO', '저스디스 (JUSTHIS)', '90148', '82926']"
"['84', '가을 안부', '먼데이 키즈 (Monday Kiz)', '126576', '119354']"
"['85', 'flex (Prod. By 기리보이)', '기리보이', '107611', '100389']"
"['86', 'BOOMERANG (부메랑)', 'Wanna One (워너원)', '144213', '136991']"
"['87', '시간이 들겠지 (Feat. Colde)', '로꼬', '96944', '89722']"
"['88', '꽃 (Prod. AVIN)', 'HAON (김하온)', '10298', '3076']"
"['89', '이별길 (GOODBYE ROAD)', 'iKON', '84642', '77420']"
"['90', 'Trivia 轉 : Seesaw', '방탄소년단', '114653', '107431']"
"['91', 'A-TEEN', '세븐틴', '82240', '75018']"
"['92', '켜줘 (Light)', 'Wanna One (워너원)', '133455', '126233']"
"['93', 'Wind flower', '마마무(Mamamoo)', '49627', '42405']"
"['94', '아주 NICE', '세븐틴', '87669', '80447']"
"['95', '그때 헤어지면 돼', '로이킴', '191963', '184741']"
"['96', '불꽃놀이 (Flowerbomb)', 'Wanna One (워너원)', '72598', '65376']"
"['97', '동화 (feat. 아이유)', '김동률', '55242', '48020']"
"['98', '눈', '폴킴', '7417', '195']"
"['99', '술래', 'Wanna One (워너원)', '69743', '62521']"
"['100', 'Snowman (삼성 갤럭시 노트 9 광고 삽입곡)', 'Sia', '75220', '67998']"
"['계', '', '', '11410099', '10687899']"
